COD_DANE;NOMBRE_INSTITUCION;CORREO_INSTITUCIONAL;DIRECCION;SEDE_PRINCIPAL;COD_SEDE_PRINCIPAL;LONGITUD;LATITUD;ESTADO;ID_DEPARTAMENTO;DEPARTAMENTO;ID_MUNICIPIO;MUNICIPIO;CALENDARIO;NATURALEZA;SECTOR;ZONA;JORNADA;NIVEL;TELEFONO;TIPO_TELEFONO;FUENTE_COORDENADAS;CONFIA_GEO
105001001708;ESCUELA SEGUROS BOLIVAR;;CR 52 # 86-21;N;105001000981;-75,56373743;6,27974344;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N B¡SICA SECUNDARIA;2637256;FIJO;SECRETARIAS;MEDIO
105001003361;ESCUELA CARLOS VILLA MARTINEZ;ICVILLA@EDUCAME.GOV.CO;CR 50 B # 95-06;N;105001000981;-75,55874389;6,28753228;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N B¡SICA PRIMARIA;2367667;FIJO;SECRETARIAS;MEDIO
105001800074;SECCION ESCUELA SAN ISIDRO;;KR 53 95 25 BRR ARANJUEZ;N;105001000981;0;0;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;MA—ANA;PREESCOLAR;3668358;FIJO;SIN COORDENADAS;BAJO
105001000540;ESCUELA JUAN CANCIO RESTREPO;;CLL 45 # 31-63;N;105001000990;-75,5556;6,238245;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;;EDUCACI”N B¡SICA PRIMARIA;2391959;FIJO;SECRETARIAS;MEDIO
105001000990;INSTITUCION EDUCATIVA GONZALO RESTREPO JARAMILLO;;CR 26 # 49-70;S;105001000990;-75,5488377;6,23956713;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;;EDUCACI”N MEDIA;2696380;FIJO;SECRETARIAS;MEDIO
105001001147;ESCUELA URB LA ANUNCIACION;IANUNCIA@EDUCAME.GOV.CO;CR 21 # 40-80;N;105001000990;0;0;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;;EDUCACI”N B¡SICA PRIMARIA;2213615;FIJO;SIN COORDENADAS;BAJO
105001001023;INSTITUCION EDUCATIVA ANTONIO RICAURTE;;CLL 2 # 80-28;S;105001001023;-75,60344407;6,21126592;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N MEDIA;2384910;FIJO;SECRETARIAS;MEDIO
105001000922;ESCUELA JOSE MANUEL MORA VASQUEZ;;CR 42 # 75-9;N;105001001121;-75,55010599;6,268736673;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N B¡SICA SECUNDARIA;2334402;FIJO;SECRETARIAS;MEDIO
105001001015;ESCUELA URB BALDOMERO SANIN CANO;;CR 37 # 75 A 2;N;105001001121;-75,54799387;6,26894352;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N B¡SICA SECUNDARIA;2338492;FIJO;SECRETARIAS;MEDIO
105001001121;COLEGIO JOSE ROBERTO VASQUEZ;;CLL 76 # 39-160;S;105001001121;-75,55019914;6,268969664;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N MEDIA;2331414;FIJO;SECRETARIAS;MEDIO
105001001155;COLEGIO SAN JUAN BAUTISTA DE LA SALLE;IJBSALLE@EDUCAME.GOV.CO;CLL 93 # 40-42;S;105001001155;-75,54951138;6,28459122;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N MEDIA;2365964;FIJO;SECRETARIAS;MEDIO
105001026735;SECCION ESC AURES;;KR 93 A # 77 F - 57;N;105001001198;0;0;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;NOCTURNA;EDUCACI”N MEDIA;;;SIN COORDENADAS;BAJO
105001001236;INSTITUCION EDUCATIVA MONTECARLO GUILLERMO GAVIRIA CORREA;;CR 36 # 85 B 140;S;105001001236;-75,546236;6,276794;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N MEDIA;2639104;FIJO;SECRETARIAS;MEDIO
105001001252;INSTITUCION EDUCATIVA CRISTOBAL COLON;;CLL 38 # 92-93;S;105001001252;-75,61334359;6,25041172;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N MEDIA;2520535;FIJO;SECRETARIAS;MEDIO
105001000850;ESCUELA URB ARZOBISPO GARCIA;;CR 49 # 98-48;N;105001001279;-75,5556992;6,289884628;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N B¡SICA SECUNDARIA;2360755;FIJO;SECRETARIAS;MEDIO
105001001163;ESCUELA LA ASUNCION;;CR 47 # 99-77;N;105001001279;-75,554447;6,290791;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;MA—ANA;EDUCACI”N MEDIA;5217466;FIJO;SECRETARIAS;MEDIO
105001001279;LICEO CIRO MENDIA;;CLL 99 # 48-55;S;105001001279;-75,5555099;6,2903519;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N MEDIA;2364127;FIJO;SECRETARIAS;MEDIO
105001001368;INSTITUCION EDUCATIVA ALVARO MARIN VELASCO;;CR 42 A # 76-28;S;105001001368;-75,55100166;6,26886985;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N MEDIA;2118264;FIJO;SECRETARIAS;MEDIO
105001001473;COLEGIO MANUELA BELTRAN;IMBELTRA@EDUCAME.GOV.CO;CR 37 71-47;S;105001001473;-75,54881049;6,26632073;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N MEDIA;2118293;FIJO;SECRETARIAS;MEDIO
105001005312;ESCUELA URB SAN JOSE;;CLL 71 # 33-18;N;105001001473;-75,545864;6,265605;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N B¡SICA PRIMARIA;2841206;FIJO;SECRETARIAS;MEDIO
105001001490;INSTITUCION EDUCATIVA LOLA GONZALEZ;ILGONZAL@EDUCAME.GOV.CO;CLL 47 F # 94-63;S;105001001490;-75,61115843;6,25736808;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N MEDIA;2520405;FIJO;SECRETARIAS;MEDIO
105001002941;ESCUELA STA LUCIA;;CR 89 A # 47 DD 71;N;105001001490;-75,6062717;6,258039523;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N B¡SICA SECUNDARIA;2341289;FIJO;SECRETARIAS;MEDIO
105001000515;ESCUELA URB LUIS ALFONSO AGUDELO;ILAGUDEL@EDUCAME.GOV.CO;CR 43 A # 38-02;N;105001001562;-75,56602637;6,236148677;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N B¡SICA PRIMARIA;2320633;FIJO;SECRETARIAS;MEDIO
105001001112;ESCUELA URB ANTONIA SANTOS;;CLL 50 B # 38-11;N;105001001562;-75,558945;6,245661;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N B¡SICA PRIMARIA;2390534;FIJO;SECRETARIAS;MEDIO
105001001562;INSTITUCION EDUCATIVA JAVIERA LONDO—O;;CL 53 # 40-65;S;105001001562;-75,5599713;6,24834771;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N MEDIA;2393116;FIJO;SECRETARIAS;MEDIO
105001001171;ESCUELA CARLOS FRANCO;;CR 77 # 25-67;N;105001001635;-75,597438;6,227989;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N B¡SICA PRIMARIA;3432833;FIJO;SECRETARIAS;MEDIO
105001001635;INSTITUCION EDUCATIVA YERMO Y PARRES;;CLL 28 # 77-84;S;105001001635;-75,597889;6,229273;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N MEDIA;3433187;FIJO;SECRETARIAS;MEDIO
105001012548;JARDIN INFANTIL NAL N. 1;;CR 72 A # 20 A 62;N;105001001635;-75,59403217;6,22450509;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N B¡SICA PRIMARIA;3434731;FIJO;SECRETARIAS;MEDIO
105001001651;INSTITUCION EDUCATIVA JOSE CELESTINO MUTIS;IJEMUTIS@EDUCAME.GOV.CO;CLL 65 # 45-15;S;105001001651;-75,55693695;6,25882916;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N MEDIA;2540988;FIJO;SECRETARIAS;MEDIO
105001001660;INSTITUCION EDUCATIVA JOSE ANTONIO GALAN;;CR 44 A # 93-89;S;105001001660;-75,55226179;6,28503512;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N MEDIA;2143010;FIJO;SECRETARIAS;MEDIO
105001001686;INSTITUCION EDUCATIVA RICARDO URIBE ESCOBAR;;CR 64 B # 75 A 49;S;105001001686;-75,57222052;6,27429703;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N MEDIA;2570276;FIJO;SECRETARIAS;MEDIO
105001001791;INSTITUCION EDUCATIVA GERARDO VALENCIA CANO;;CLL 65 # 74 B 273;S;105001001791;-75,588099;6,268666;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N MEDIA;2606999;FIJO;SECRETARIAS;MEDIO
105001021075;ESCUELA LA PORTADA;;CLL 80 C # 88 A 37;N;105001001791;-75,589032;6,288002;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N B¡SICA PRIMARIA;2570719;FIJO;SECRETARIAS;MEDIO
105001001571;ESCUELA URB FE Y ALEGRIA POPULAR 2;MARIURJM@HOTMAIL.COM;CR 43 # 118 B 16;N;105001001805;-75,5470886;6,30259895;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N MEDIA;5286518;FIJO;SECRETARIAS;MEDIO
105001001805;COLEGIO FE Y ALEGRIA POPULAR N. 1;;CLL 120 # 42 BB 10;S;105001001805;-75,54474035;6,302481818;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N MEDIA;2583941;FIJO;SECRETARIAS;MEDIO
105001001848;INSTITUCION EDUCATIVA SOR JUANA INES DE LA CRUZ;;CR 67 # 103 EE 1;S;105001001848;-75,56814738;6,299969362;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N MEDIA;2671757;FIJO;SECRETARIAS;MEDIO
105001800091;SECCION ESCUELA SOR JUANA;;CL 103E E 65 85 BRR GIRARDOT;N;105001001848;-75,56749998;6,299327609;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;MA—ANA;PREESCOLAR;2678688;FIJO;SECRETARIAS;MEDIO
105001002003;INSTITUCION EDUCATIVA SAN ROBERTO BELARMINO;ESCUELASANROBERTOBE@EDUCAME.GOV.CO;CLL 32 B # 83-39;S;105001002003;-75,60657975;6,235453054;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;MA—ANA;EDUCACI”N MEDIA;2562097;FIJO;SECRETARIAS;MEDIO
105001002011;INSTITUCION EDUCATIVA FEDERICO OZANAM;;CLL 47 # 35-19;S;105001002011;-75,55804125;6,24058578;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N MEDIA;2170671;FIJO;SECRETARIAS;MEDIO
105001002020;INSTITUCION EDUCATIVA RAFAEL URIBE URIBE;ICARCILA@EDUCAME.CO.COM;CR 82 # 42 C 58;S;105001002020;-75,60311665;6,24943741;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N MEDIA;2508252;FIJO;SECRETARIAS;MEDIO
105001002887;ESCUELA RAFAEL URIBE URIBE;;CR 83 # 42 C 54;N;105001002020;-75,604106;6,249035;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N B¡SICA SECUNDARIA;2508012;FIJO;SECRETARIAS;MEDIO
105001800466;SEDE RAFAEL URIBE URIBE;RECTORIA@IERAFAELURIBE.EDU.CO;KR 86A 34 64;N;105001002020;0;0;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;PREESCOLAR, EDUCACI”N B¡SICA PRIMARIA, EDUCACI”N B¡SICA SECUNDARIA, EDUCACI”N MEDIA;4639857;FIJO;;
105001002038;INSTITUCION EDUCATIVA JOSE EUSEBIO CARO;;CR 50 A # 93-77;S;105001002038;-75,558643;6,285405;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;;EDUCACI”N MEDIA;2362561;FIJO;SECRETARIAS;MEDIO
105001001775;ESCUELA LA SANTISIMA TRINIDAD;;CLL 26 # 65 B 100;N;105001002071;-75,58491528;6,22779709;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N B¡SICA PRIMARIA;2353435;FIJO;SECRETARIAS;MEDIO
